sample_file,cosine_similarity,euclidean_similarity,manhattan_similarity,euclidean_distance
voice_samples/민서/sample4.wav,0.5986747,0.0028256645675391436,0.00025870492164638904,352.8990478515625
voice_samples/민서/sample4.wav,0.6316103,0.0031018609367055847,0.0002719290605063404,321.3871154785156
voice_samples/민서/sample4.wav,0.7036129,0.003292545280787253,0.0003018045124637674,302.7164001464844
voice_samples/민서/sample4.wav,0.41851315,0.00247533914669391,0.00022223767950874188,402.98504638671875
voice_samples/민서/sample5.wav,0.6079945,0.002772365586421568,0.00025333617017065556,359.7027893066406
voice_samples/민서/sample5.wav,0.6099656,0.0026969023482342237,0.00023564992087087374,369.7957763671875
voice_samples/민서/sample5.wav,0.34659994,0.0021521540324383626,0.00019047239945187104,463.6507568359375
voice_samples/민서/sample2.wav,0.69987947,0.0031832796990339607,0.00029048637958584275,313.14141845703125
voice_samples/민서/sample2.wav,0.42393744,0.002388344807369,0.00021344952992118419,417.70001220703125
voice_samples/민서/sample3.wav,0.49386773,0.002457017195521222,0.0002200058353110225,405.99755859375
